PORTUGAL;Joueur ;HUGO DORES
PORTUGAL;Joueur ;RODRIGO BRAS
PORTUGAL;Joueur ;MARCIO ARAUJO
PORTUGAL;Joueur ;BRUNO MOREIRA
PORTUGAL;COACH ;LEONARDO GONCALVES
RÉPUBLIQUE DOMINICAINE;Joueur ;ROSARIA SOSA FRANSISCO JOSE
RÉPUBLIQUE DOMINICAINE;Joueur ;MORENO HERNANDEZ JUAN ALBERTO
RÉPUBLIQUE DOMINICAINE;Joueur ;SANTOS LOPEZ FAUSTINO
RÉPUBLIQUE DOMINICAINE;Joueur ;GAVINO LUIS ALFREDO
RÉPUBLIQUE DOMINICAINE;COACH ;CABON CHRISTIAN
RÉPUBLIQUE TCHÈQUE;Joueur ;MICHALEK IVO
RÉPUBLIQUE TCHÈQUE;Joueur ;MICHALEK TOMÁŠ
RÉPUBLIQUE TCHÈQUE;Joueur ;LUKÁŠ VOJTĚCH
RÉPUBLIQUE TCHÈQUE;Joueur ;LUKÁŠ PETR
RÉPUBLIQUE TCHÈQUE;COACH ;VAVROVIC PETR
SÉNÉGAL;Joueur ;KANE CIRE LAMINE
SÉNÉGAL;Joueur ;DONDE BABACAR
SÉNÉGAL;Joueur ;DIONE BABACAR
SÉNÉGAL;Joueur ;SALL ABDOURAHMANE
SÉNÉGAL;COACH ;GEHA YOUSSEPH
SLOVAQUIE;Joueur ;PEYLOUBET ROMAIN
SLOVAQUIE;Joueur ;COLLANGE CEDRIC
SLOVAQUIE;Joueur ;VANBESELAERE JEAN CHARLES
SLOVAQUIE;Joueur ;TOMKA LUKÁŠ
SLOVAQUIE;COACH ;CHASTEL PATRICE
SUEDE;Joueur ;FOLKE JOHANSSON BJÖRN
SUEDE;Joueur ;LILJEGREN IVAR
SUEDE;Joueur ;WIRSTRÖM RASMUS
SUEDE;Joueur ;ÅKESSON SIMON
SUEDE;COACH ;NILSSON EMIL
SUISSE;Joueur ;CHERVET JOEL
SUISSE;Joueur ;METAIRON FREDERICK
SUISSE;Joueur ;MOLINAS MAIKY
SUISSE;Joueur ;PITTET ALWIN
SUISSE;COACH ;CHOUPAY DIDIER
TUNISIE;Joueur ;BOUGRIBA MOHAMED KHALED
TUNISIE;Joueur ;HAMMAMI MAJDI
TUNISIE;Joueur ;BEN BRAHIM SOFIEN
TUNISIE;Joueur ;MAY LASSAD
TUNISIE;COACH ;MAAMAR CHIHAOUI
TURQUIE;Joueur ;KIRMIZIÇOLAK RIDVAN
TURQUIE;Joueur ;DURUK MESUT
TURQUIE;Joueur ;EKINCI YUSUF
TURQUIE;Joueur ;IŞIKFENER TURAN
TURQUIE;COACH ;NİYAZİ KUTLAY YAKUP
UKRAINE *;Joueur ;VOLOSHKO ANDRII
UKRAINE *;Joueur ;SYDORENKO VOLODYMYR
UKRAINE *;Joueur ;DUDIUK MYKOLA
UKRAINE *;Joueur ;BABIAK SEHRII
UKRAINE *;COACH ;LYTVYN LILIIA
